feature_name,feature_index
MIL,0
FLM,1
Cost,2
L30,3
D30,4
D60,5
LW,6
TTM,7
Supply,8
Dc Avail,9
Proj. Demand,10
Alloc. Rec.,11
max_demand,12
avg_demand,13
demand_pressure,14
proj_gap,15
d30_gap,16
d60_gap,17
mil_gap,18
supply_to_d30,19
supply_to_d60,20
supply_to_proj,21
l30_to_d30,22
d30_to_d60,23
lw_month_to_l30,24
ttm_monthly,25
rec_flms,26
rec_minus_pressure,27
dc_flms,28
dc_flms_capped,29
rank_score,30
rec_cost_value,31
supply_cost_value,32
weak_demand,33
zero_supply,34
has_alloc_rec,35
has_dc_avail,36
proj_flms,37
rec_minus_proj,38
rec_minus_proj_flms,39
proj_minus_rec_flms,40
proj_gap_flms,41
rec_gap_flms_base,42
post_rec_supply,43
post_rec_to_proj,44
post_rec_to_d30,45
post_rec_to_d60_month,46
proj_to_rec,47
rec_to_proj,48
proj_to_dc,49
rec_to_dc,50
dc_after_rec,51
dc_after_rec_flms,52
proj_supported_by_rec,53
rec_exceeds_proj_1flm,54
proj_exceeds_rec_1flm,55
has_proj_demand,56
has_alloc_rec_signal,57
proj_rec_agreement,58
weekly_velocity_proxy,59
monthly_velocity_proxy,60
shortage_units,61
overstock_units,62
shortage_flms,63
rec_gap_flms,64
demand_trend_30_60,65
demand_trend_l30_d30,66
demand_acceleration,67
woc_proxy,68
dc_to_need,69
rec_to_need,70
rec_to_dc,71
cost_log1p,72
demand_log1p,73
supply_log1p,74
dc_log1p,75
rec_log1p,76
pressure_x_rank,77
pressure_x_cost,78
rec_x_rank,79
dc_x_rank,80
single_flm_available,81
below_flm_remainder,82
high_need_no_rec,83
rec_above_need,84
need_above_rec,85
demand_consensus,86
normalized_pressure,87
allocation_value_need,88
rec_value,89
supply_value,90
log_l30,91
log_d30,92
log_d60,93
log_lw,94
log_ttm,95
log_proj_demand,96
dc_raw_positive,97
dc_raw_le_25,98
dc_raw_26_50,99
dc_raw_51_100,100
dc_raw_101_300,101
dc_raw_301_600,102
dc_raw_601_1000,103
dc_raw_1001_2000,104
dc_raw_2000_plus,105
hash__Class Name__0,106
hash__Class Name__1,107
hash__Class Name__2,108
hash__Class Name__3,109
hash__Class Name__4,110
hash__Class Name__5,111
hash__Class Name__6,112
hash__Class Name__7,113
hash__Class Name__8,114
