segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,over_dc_violations,group_col,group_value
State=AK,1085,0.4857142857142857,3.6859429072094123,0.9207373271889401,0.9852534562211982,10,21,4813.0,4716.0,97.0,0,0,State,AK
State=AR,73,0.0273972602739726,0.1655211777204736,0.9726027397260274,1.0,0,0,157.0,157.0,0.0,0,0,State,AR
State=AZ,1494,0.17804551539491298,1.2167945688396613,0.9518072289156626,0.9966532797858099,6,38,4542.0,4764.0,-222.0,0,0,State,AZ
State=CA,2258,0.22232063773250665,1.3876591347391396,0.949955713020372,0.9946855624446412,10,50,7640.0,7940.0,-300.0,0,0,State,CA
State=CO,983,0.14547304170905392,1.0886448032437877,0.960325534079349,0.9969481180061037,6,20,2661.0,2736.0,-75.0,0,0,State,CO
State=FL,479,0.06889352818371608,0.6509989112613519,0.9728601252609603,1.0,1,4,1032.0,1049.0,-17.0,0,0,State,FL
State=IA,91,0.27472527472527475,1.9471026658111255,0.9560439560439561,1.0,0,3,149.0,174.0,-25.0,0,0,State,IA
State=ID,881,0.24063564131668558,1.3850179377375265,0.9398410896708286,0.996594778660613,5,21,2315.0,2443.0,-128.0,0,0,State,ID
State=IN,230,0.20434782608695654,1.6405195359477092,0.9695652173913043,1.0,1,5,434.0,479.0,-45.0,0,0,State,IN
State=KY,189,0.047619047619047616,0.41785544701867244,0.9841269841269841,0.9947089947089947,0,3,300.0,309.0,-9.0,0,0,State,KY
State=LA,100,0.11,0.8306623862918074,0.97,1.0,0,2,118.0,129.0,-11.0,0,0,State,LA
State=MI,489,0.11451942740286299,0.9507289206564599,0.9693251533742331,1.0,0,9,1284.0,1332.0,-48.0,0,0,State,MI
State=MN,77,0.15584415584415584,1.162174406295953,0.974025974025974,1.0,0,2,356.0,368.0,-12.0,0,0,State,MN
State=MS,106,0.05660377358490566,0.3071475584169756,0.9622641509433962,1.0,0,2,207.0,213.0,-6.0,0,0,State,MS
State=MT,480,0.17916666666666667,1.0858944086174616,0.9458333333333333,0.99375,2,12,1395.0,1457.0,-62.0,0,0,State,MT
State=NC,422,0.22274881516587677,1.6100984633280582,0.9715639810426541,0.995260663507109,2,5,1382.0,1404.0,-22.0,0,0,State,NC
State=ND,170,0.07647058823529412,0.9235481451827989,0.9882352941176471,1.0,0,1,434.0,445.0,-11.0,0,0,State,ND
State=NE,70,0.0,0.0,1.0,1.0,0,0,133.0,133.0,0.0,0,0,State,NE
State=NM,578,0.25951557093425603,1.5662972889052174,0.9429065743944637,0.9982698961937716,7,16,1846.0,1864.0,-18.0,0,0,State,NM
State=NV,687,0.2547307132459971,1.6687032680490774,0.9519650655021834,0.992721979621543,3,16,2138.0,2245.0,-107.0,0,0,State,NV
State=NY,241,0.12448132780082988,0.8925696039667221,0.9585062240663901,1.0,0,5,634.0,658.0,-24.0,0,0,State,NY
State=OH,73,0.2876712328767123,1.5919317118967338,0.9452054794520548,1.0,1,2,105.0,120.0,-15.0,0,0,State,OH
State=OR,1358,0.27466863033873345,1.7087231795323041,0.9499263622974963,0.9992636229749632,4,41,3872.0,4095.0,-223.0,0,0,State,OR
State=PA,794,0.0818639798488665,0.6378095386215819,0.9710327455919395,1.0,2,15,2137.0,2178.0,-41.0,0,0,State,PA
State=SC,389,0.2622107969151671,1.7073860416190831,0.9562982005141388,0.9922879177377892,2,9,950.0,1006.0,-56.0,0,0,State,SC
State=TN,255,0.08627450980392157,0.6386259760257971,0.9764705882352941,1.0,0,3,635.0,645.0,-10.0,0,0,State,TN
State=UT,2093,0.5819397993311036,5.44274810439127,0.8934543717152413,0.9770664118490205,65,84,5916.0,6260.0,-344.0,0,0,State,UT
State=VA,477,0.13417190775681342,1.0912266865054754,0.9706498951781971,1.0,1,9,1495.0,1551.0,-56.0,0,0,State,VA
State=WA,1709,0.24751316559391456,1.5689721136052477,0.952018724400234,0.9988297249853716,7,46,4621.0,4902.0,-281.0,0,0,State,WA
State=WI,154,0.12337662337662338,0.7854190708679775,0.961038961038961,1.0,1,5,297.0,308.0,-11.0,0,0,State,WI
State=WV,130,0.14615384615384616,1.1197527199547916,0.9615384615384616,1.0,0,3,266.0,281.0,-15.0,0,0,State,WV
State=WY,619,0.10662358642972536,0.895149376980311,0.9676898222940227,0.9983844911147012,1,10,1537.0,1583.0,-46.0,0,0,State,WY
Site=102,165,0.15151515151515152,1.0588730430094635,0.9636363636363636,0.9878787878787879,1,1,501.0,512.0,-11.0,0,0,Site,102
Site=103,188,0.05319148936170213,0.5925063964103966,0.9840425531914894,1.0,0,2,620.0,628.0,-8.0,0,0,Site,103
Site=104,131,0.16030534351145037,1.1086061670348881,0.9541984732824428,1.0,1,3,287.0,300.0,-13.0,0,0,Site,104
Site=105,156,0.358974358974359,1.8742519875461017,0.9294871794871795,1.0,0,5,365.0,411.0,-46.0,0,0,Site,105
Site=106,91,0.3516483516483517,2.2774576147127714,0.967032967032967,1.0,0,3,198.0,230.0,-32.0,0,0,Site,106
Site=108,83,0.18072289156626506,1.3308209261014037,0.9518072289156626,1.0,1,2,88.0,101.0,-13.0,0,0,Site,108
Site=114,160,0.33125,1.5949137907736581,0.93125,0.9875,2,6,550.0,539.0,11.0,0,0,Site,114
Site=117,180,0.16111111111111112,0.9860132971832694,0.9555555555555556,1.0,0,6,662.0,675.0,-13.0,0,0,Site,117
Site=118,137,0.27007299270072993,1.353557087204366,0.9343065693430657,0.9927007299270073,0,6,309.0,342.0,-33.0,0,0,Site,118
Site=119,104,0.09615384615384616,0.41602514716892186,0.9423076923076923,1.0,2,3,231.0,231.0,0.0,0,0,Site,119
Site=120,91,0.27472527472527475,1.9471026658111255,0.9560439560439561,1.0,0,3,149.0,174.0,-25.0,0,0,Site,120
Site=121,143,0.23776223776223776,1.3791656543352224,0.9370629370629371,0.972027972027972,1,0,496.0,514.0,-18.0,0,0,Site,121
Site=123,178,0.2808988764044944,1.699305872831081,0.949438202247191,0.9887640449438202,1,5,516.0,554.0,-38.0,0,0,Site,123
