Unnamed_0,Vendor,Vendor Site Id,Brand,Dcl,Department Id,Class Id,Class Name,Line Id,Line Name,Product ID,Pcode Description,Color,Size,Item,Description,Mfg Code,UPC,Status,Status 300,Site,Site Name,State,Square Footage,Region,Zone,MIL,FLM,DC FLM,Orgs,Cost,Retail,ATG Retail,GM Pct,Last Receipt,Last Sold Date,L30,D30,D60,LW,TTM,Qoh,Supply,Allocated,Intrans,Store Transfer,QTY Reserve,Store PO Qty,Dc Qoh,Dc Avail,DC Staged,DC RV,DC PO QTY,Buyer Name,Planner Code,Private Label,Season Code,Store Size,Rank,Supply In Stock,Avg. WOC,MIL_1,FLM_1,Days,Proj. Demand,Alloc. Rec.,New,Store Flag,SKU Flag,Flag,Final Alloc.,Left DC,Final Supply,Final Cost,% UA,Left DC %,Final In Stock,Demand Check,Helper,Unnamed_79,736,source_sheet,source_file,source_row_number,Store Name,is_allocate,is_review,is_no_alloc,is_eligible,is_site802,is_ak,is_review_pass1_candidate,has_target_final_alloc,row_category,model_segment,4364,4950,4188,3908,9518,3561,3143,1957,1648,target_units,target_positive,target_flms,target_rank_score,target_cut_rec,target_follow_rec,target_one_flm,target_zero_out,target_below_flm_remainder,target_review_pass1_positive,target_review_pass1_rank_score,model_path,pred_prob,rank_score,pred_flms_raw,review_pass1_prob,review_pass1_rank_score,review_pass1_units,Predicted Final Alloc,abs_error
,STANSPORT,LOS ANGELES,Stansport,1.134.2,1,134,Fuel,2,Butane,p214267,Stansport Butane Gas 8 OZ Cartridge,Brown,8oz,1216752,SS BUTANE FUEL,181,859176000099,Active,Active,802,Ecommerce,UT,,,,240,28,2268,147,2.12,2.12,4.99,0,,46054,0,0,0,0,12,0,0,,,,,0,6233,5868,364,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9931972789115646,,240,28,60,0,252,New,Disaster Prep,Disaster Prep,Allocate,252,5532,252,534.24,0.32727918121043603,0.9427402862985685,1,,Review Final Alloc - Above FLM / Weak Demand,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",228,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,252.0,1.0,9.0,6.802585092994046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,site802_allocate_nn,0.978804349899292,6.322720050811768,1.0682905912399292,0.0,0.0,0,28,224.0
,TOOTSIE ROLL DIV TRI SALES CO,CHICAGO,Tootsie Roll,1.150.1,1,150,Food & Beverage,1,Candy/Snacks,p251619,Tootsie Roll Industries Tootsie Pops Assorted Flavors,,,1434363,TOOTSIE POPS ASST FLVRS,00007,071720000076,Active,Active,145,Fairbanks,AK,47072,Alaska,1,24,100,1000,147,0.15,0.29,0.29,0.48,46162,46167,294,102,102,109,582,20,220,,200,0,0,0,4592,4092,500,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A+,0.9931972789115646,3.210204081632653,24,100,60,385,200,-,-,-,Allocate,200,3292,420,30,0.17052577052577053,0.804496578690127,0.9931972789115646,True,,,,3.3 Working Table,"Daily Allocation - 132, 150 - 5.26.2026.xlsb",1347,,True,False,False,True,False,True,False,True,Allocate,ak_allocate,,,,,,,,,,200.0,1.0,2.0,3.54861228866811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ak_allocate_nn,1.0,2.9918134212493896,3.147554636001587,0.0,0.0,0,300,100.0
,STANSPORT,LOS ANGELES,Stansport,1.136.1,1,136,Accessories,1,Camp Accessories,p1119,Stansport Steel Tent Stake,Silver,10in,100677,SS STEEL TENT PEGS T STOPPER,818-50,011319132542,Active,Active,802,Ecommerce,UT,,,,0,50,50,146,0.63,0.63,1.99,0,,46174,14,14,26,10,107,0,0,,,,,0,3783,1133,2650,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9931506849315068,0,0,50,60,37,50,New,Disaster Prep,-,Allocate,50,1083,50,31.5,0.04956748592612934,0.9558693733451015,1,,,,,3.3 Working Table,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb",464,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,50.0,1.0,1.0,3.1931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,site802_allocate_nn,0.9915424585342407,3.149418354034424,1.70803964138031,0.0,0.0,0,100,50.0
,G C I OUTDOOR INC,HIGGANUM,GCI Outdoor,1.127.1,1,127,Camp Furniture,1,Stools/Chairs,p248054,GCI Outdoor Freestyle Rocker XL with Side Table Rocker Chair,Black,XL,1713510,GCI FREESTYLE ROCKER XL W/SIDE TABLE,47110,631444009481,Active,Active,802,Ecommerce,UT,,,,10,2,2,133,43.9,43.9,95,0,,46167,24,47,108,4,504,36,36,,,,,0,1766,1360,406,0,5400,"Branham, Dave Michael",Camp1,,,Greater than 60K,,1,6.4350000000000005,10,2,60,74,38,New,Disaster Prep,-,Allocate,38,1280,74,1668.2,0.33604620635337357,0.9411764705882353,1,,,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",76,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,38.0,1.0,19.0,7.49573227355399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,site802_allocate_nn,0.8380728363990784,7.250513076782227,2.0040786266326904,0.0,0.0,0,4,34.0
,WESTFIELD OUTDOORS INC,INDIANAPOLIS,Sportsman's Warehouse,1.127.1,1,127,Camp Furniture,1,Stools/Chairs,p233602,Sportsman's Warehouse Padded Club Chair,Blue,XL,1665336,SW PADDED CLUB CHAIR BLUE 350 LB,FC-332XL-BLUE,844093005555,Active,Phaseout,802,Ecommerce,UT,,,,2,2,2,145,23.68,23.68,99.99,0,,46167,303,203,237,74,766,34,34,,,,,0,1383,665,718,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,0.9724137931034482,0.4813861386138614,2,2,60,402,368,New,Disaster Prep,-,Review,42,0,76,994.56,0,0,1,,,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",905,,False,True,False,True,True,False,False,True,Review,site802_review,,,,,,,,,,42.0,1.0,21.0,7.591042453358316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,site802_review_nn,0.00047935621114447713,17.010652542114258,4.13524055480957,1.0,61336.26953125,0,8,34.0
,PIC CORPORATION,LINDEN,Pic,1.136.5,1,136,Accessories,5,Repelants,p253871,Pic Mosquito Repelling Coils with Metal Burner,Silver,,1730028,PIC METAL COIL BURNR W 4 MOSQ COILS,MTLCOMBO4,072477989805,Active,Active,145,Fairbanks,AK,47072,Alaska,1,6,6,6,146,4.04,8.99,8.99,0.55,45764,45842,0,157,157,0,157,0,0,,0,0,0,0,1440,1440,0,0,0,"Branham, Dave Michael",Camp1,,,40K-50K,A+,0.589041095890411,,6,6,60,99,102,-,-,-,Allocate,102,852,102,412.08,0.4088291746641075,0.5916666666666667,0.9931506849315068,,,,,3.3 Working Table,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb",333,,True,False,False,True,False,True,False,True,Allocate,ak_allocate,,,,,,,,,,102.0,1.0,17.0,7.3903717578961645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ak_allocate_nn,1.0,7.140396595001221,12.319416999816895,0.0,0.0,0,72,30.0
,STANSPORT,LOS ANGELES,Stansport,1.134.2,1,134,Fuel,2,Butane,p214267,Stansport Butane Gas 8 OZ Cartridge,Brown,8oz,1216752,SS BUTANE FUEL,181,859176000099,Active,Active,248,Juneau,AK,27852,Alaska,1,4,28,2268,147,2.12,5.19,4.99,0.59,46121,46166,37,92,198,13,479,40,96,,56,0,0,0,6233,5868,364,0,0,"Branham, Dave Michael",Camp1,,,20K-30K,A,0.9931972789115646,11.13081081081081,4,28,60,129,28,-,-,Disaster Prep,Allocate,28,5532,124,59.36,0.32727918121043603,0.9427402862985685,1,,,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",229,,True,False,False,True,False,True,False,True,Allocate,ak_allocate,,,,,,,,,,28.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ak_allocate_nn,0.9937485456466675,2.989823818206787,1.7271525859832764,0.0,0.0,0,56,28.0
,COGHLANS LTD,WINNIPEG,Coghlan's,1.136.1,1,136,Accessories,1,Camp Accessories,p9399,Coghlan's Emergency Poncho,Assorted,One Size Fits Most,102186,EMERGENCY PONCHO,9173,056389091733,Active,Active,249,Roseburg,OR,39988,Pacific North West,2,60,24,24,147,0.89,2.99,2.99,0.7,45887,46167,1,7,9,1,58,48,48,,0,0,0,0,2859,747,2112,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,C,1,205.92000000000002,60,24,60,9,24,-,Disaster Prep,Disaster Prep,Allocate,24,603,72,21.36,0.06085376930063579,0.8072289156626506,1,,Review Final Alloc - Single FLM May Be Too High,,,3.3 Working Table,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 5.28.2026.xlsb",84,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,24.0,1.0,1.0,2.6931471805599454,0.0,1.0,1.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.18065227568149567,2.10498046875,0.8651739358901978,0.0,0.0,0,0,24.0
,G S I OUTDOORS,SPOKANE,GSI Outdoors,1.135.6,1,135,Cooking,6,Cutlery,p36837,GSI Pioneer Cutlery - Enamelware Knives Forks and Spoons,Blue,,1403543,GSI PIONEER KNIFE BLUE,10055,090497100550,Active,Active,802,Ecommerce,UT,,,,6,12,12,143,1.92,1.92,3.99,0,,46061,0,96,96,0,103,15,15,,,,,0,471,435,36,0,0,"Branham, Dave Michael",Camp1,,,Greater than 60K,,1,,6,12,60,61,48,New,Disaster Prep,-,Allocate,12,399,27,23.04,0.18285976168652612,0.9172413793103448,1,,,,,3.3 Working Table,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",368,,True,False,False,True,True,False,False,True,Allocate,site802_allocate,,,,,,,,,,12.0,1.0,1.0,3.6306471805599454,1.0,0.0,1.0,0.0,0.0,0.0,0.0,site802_allocate_nn,0.9997667670249939,3.5584847927093506,2.9025156497955322,0.0,0.0,0,36,24.0
,WORTHINGTON CYLINDER CORP,COLUMBUS,Coleman,1.134.1,1,134,Fuel,1,Propane,p214588,Coleman Propane Fuel Bottle,Green,,100001,SINGLE BOTTLE PROPANE,332418,014045324182,Active,Active,249,Roseburg,OR,39988,Pacific North West,2,480,12,20160,147,5.35,6.99,6.99,0.23,46049,46166,60,80,168,25,631,316,460,144,0,0,0,0,26916,23688,3228,0,0,"Branham, Dave Michael",Camp1,,,30K-40K,C,1,32.89,480,12,60,154,24,-,Disaster Prep,Disaster Prep,Allocate,24,21776,484,128.39999999999998,0.3334762633996937,0.9192840256670044,1,True,Review Final Supply - Existing Stock May Be Enough,,,3.3 Working Table,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",499,,True,False,False,True,False,False,False,True,Allocate,allocate,,,,,,,,,,24.0,1.0,2.0,3.09861228866811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,allocate_main_nn,0.2765975296497345,3.3847267627716064,1.6299376487731934,0.0,0.0,0,0,24.0
