segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,over_dc_violations
all,19234,0.24909015285432048,2.331489390585603,0.9480087345325985,0.9944889258604555,137,462,55801.0,57944.0,-2143.0,0,0
allocate,9154,0.3707668778675989,3.217041416117806,0.936748962202316,0.9901682324666813,96,189,46759.0,47913.0,-1154.0,0,0
review,10080,0.13859126984126985,0.986767610666421,0.958234126984127,0.9984126984126984,41,273,9042.0,10031.0,-989.0,0,0
ak_all,1085,0.4857142857142857,3.6859429072094123,0.9207373271889401,0.9852534562211982,10,21,4813.0,4716.0,97.0,0,0
ak_allocate,553,0.6853526220614828,4.97098270744907,0.9095840867992767,0.9819168173598554,8,0,4236.0,4035.0,201.0,0,0
ak_review,532,0.2781954887218045,1.4221660912064538,0.9323308270676691,0.9887218045112782,2,21,577.0,681.0,-104.0,0,0
site802_all,497,1.8189134808853118,10.93772384076785,0.6901408450704225,0.9215291750503019,55,51,693.0,967.0,-274.0,0,0
site802_allocate,330,2.293939393939394,13.2201636628571,0.6484848484848484,0.896969696969697,37,37,585.0,852.0,-267.0,0,0
site802_review,167,0.8802395209580839,3.2675138418355365,0.7724550898203593,0.9700598802395209,18,14,108.0,115.0,-7.0,0,0
model_path::ak_allocate_nn,553,0.6853526220614828,4.97098270744907,0.9095840867992767,0.9819168173598554,8,0,4236.0,4035.0,201.0,0,0
model_path::allocate_main_nn,8271,0.273002055374199,1.6819394531384586,0.9500664974005562,0.994438399226212,51,152,41938.0,43026.0,-1088.0,0,0
model_path::review_pass1_plus_pass2_main_nn,568,0.061619718309859156,0.3054666252717792,0.948943661971831,0.9982394366197183,0,0,2008.0,2005.0,3.0,0,0
model_path::review_pass1_zero_supply_single_flm,25,0.56,1.5491933384829668,0.76,1.0,5,0,65.0,53.0,12.0,0,0
model_path::review_pass2_main_nn,1691,0.10881135422826729,0.6929568797102662,0.9455943228858663,0.9958604376108812,18,3,6861.0,6841.0,20.0,0,0
model_path::review_two_pass_none,7629,0.13330711757766417,0.9651823028337703,0.9664438327434788,0.9996067636649626,0,256,0.0,1017.0,-1017.0,0,0
model_path::site802_allocate_nn,330,2.293939393939394,13.2201636628571,0.6484848484848484,0.896969696969697,37,37,585.0,852.0,-267.0,0,0
model_path::site802_review_nn,167,0.8802395209580839,3.2675138418355365,0.7724550898203593,0.9700598802395209,18,14,108.0,115.0,-7.0,0,0
